"method","treated_kept","control_units","mean_hcy_smokers","mean_hcy_controls","att_hcy_difference","att_ci_lower","att_ci_upper","paired_t_pvalue","age_smd","education_max_abs_smd","caliper"
"Unmatched",821,2347,9.29370280146163,7.93473370259906,1.35896909886257,NA,NA,NA,-0.0890981906737815,0.435560269252734,NA
"Exact matching",797,2044,9.3452948557089,8.26945409958732,1.07584075612163,0.600104985925343,1.55157652631792,1.03099681144859e-05,-0.00759153445786248,2.88565192028726e-15,NA
"1:2 matching",566,1106,9.04381625441695,8.13123869801084,0.900326855123675,0.457328722273663,1.34332498797369,7.41975525458007e-05,-0.0394448644532672,0.13444248702756,0.209605865797299
"Propensity score matching",795,795,9.2826289308176,8.17949685534591,1.1031320754717,0.594811408499286,1.61145274244411,2.2902498437487e-05,-0.0464247222861168,0.0822690069789727,0.209605865797299
"Mahalanobis matching",821,821,9.29370280146163,8.47132764920828,0.82237515225335,0.252039865611673,1.39271043889503,0.00476443251360549,-0.129252247791113,0,NA
"Full matching",821,2347,9.29370280146163,8.1341876969955,1.1595151044661,0.692979959130211,1.626050249802,1.28459200974643e-06,-0.046237430013079,0.0600540239698741,NA
